authors	url (pdf)	licence	title	keywords
Gladstone, Clovis; Cooney, Charles; Allen, Tim	https://dh2017.adho.org/abstracts/442/442.pdf	cc-by	What&#8217;s in a word? Exploring words and their usage in the &#8220;Dictionnaire Vivant de la Langue Française&#8221;	Dictionary, lexicography, collocations, word embeddings
Gniady, Tassie; Wernert, Eric	https://dh2017.adho.org/abstracts/544/544.pdf	cc-by	An Open, Reproducible Method for Teaching Text Analysis with R	R, text analysis, repeatable workflows, visualization
Goddard, Lisa	https://dh2017.adho.org/abstracts/231/231.pdf	cc-by	Negotiating Sustainability: The Grant Services “Menu&#8221; at UVic Libraries	sustainability, curation, scholarly communication, digital preservation, grant services
Gold, Matthew K.; French, Scot; Spiro, Lisa; Kaufman, Micki; Glass, Erin; Rhody, Lisa; Huet, Hélène	https://dh2017.adho.org/abstracts/284/284.pdf	cc-by	Building Space for DH Communities	community, commons, communication, collaboration, representation
González-Blanco, Elena; Del Rio, Gimena; Martínez, Clara	https://dh2017.adho.org/abstracts/429/429.pdf	cc-by	Using e-learning systems for DH teaching: the Spanish Humanidades Digitales case study at LINHD	digital humanities curriculum, e-learning, DH pedagogoy, Spanish, virtual, online
Gooding, Paul Matthew	https://dh2017.adho.org/abstracts/070/070.pdf	cc-by	&#8220;A Trace of this Journey&#8221;: Citations of Digitised Newspapers in UK History PhD Theses	digitisation, newspapers, citations, text mining
Goodrich, Andre; Templehoff, Gustaf; Steyn, Juan	https://dh2017.adho.org/abstracts/470/470.pdf	cc-by	Site-specific Cultural Infrastructure: Promoting Access And Conquering The Digital Divide.	access, emerging technologies, multicultural, infrastructure
Graham, Elyse; Crease, Robert	https://dh2017.adho.org/abstracts/026/026.pdf	cc-by	Designing Tools for Macro-Scale Data Analysis in the History of Science	history, history of science, databases
Grandjean, Martin	https://dh2017.adho.org/abstracts/202/202.pdf	cc-by	Multimode and Multilevel: Vertical Dimension in Historical and Literary Networks	networks, social network analysis, data visualization
Grandjean, Martin	https://dh2017.adho.org/abstracts/527/527.pdf	cc-by	Médias Sociaux et Mise en Scène de l’Histoire	Twitter, media studies, digital studies
Grandjean, Martin; Benz, Pierre; Rossier, Thierry	https://dh2017.adho.org/abstracts/201/201.pdf	cc-by	Complex Network Visualisation for the History of Interdisciplinarity: Mapping 40 years of Science Funding in Switzerland	networks, history of science, database, scientometry
Green, Alex; Kaplish, Lalita; Walker, Hannah	https://dh2017.adho.org/abstracts/572/572.pdf	cc-by	New potentials in the digital archives: a participative inquiry into interdisciplinary collaboration in digital historical research at the Wellcome Trust	collaboration, experimentation, innovation
