authors	url (pdf)	licence	title	keywords
Leblay, Christophe; Caporossi, Gilles	https://dh2017.adho.org/abstracts/152/152.pdf	cc-by	Ecriture Et Visualisations Numériques	Enregistrement, Génétique textuelle, Mathématique, Pattern, Visualisation
Leem, Deborah	https://dh2017.adho.org/abstracts/537/537.pdf	cc-by	Smelly London: visualising historical smells through text-mining, geo-referencing and mapping.	Text-mining, Geo-referencing, Medical_History, Visualisation, Gamining
Lewis, Patrick A.; Dycus, Jeff; Curtis, Anthony P.; Smith, Whitney R.; Brumfield, Sara Carlstead; Brumfield, Ben W.	https://dh2017.adho.org/abstracts/245/245.pdf	cc-by	Beyond Coocurrence: Network Visualization in the Civil War Governors of Kentucky	network analysis, documentary editing, public access, network visualisation, digital scholarly editions
Li, Hongshan; Zeng, Marcia; Zhang, Yin; Ye, Xinyue; Hu, Tao	https://dh2017.adho.org/abstracts/334/334.pdf	cc-by	Tackling Innovation Networks with Smart Data: A Case Study of the Liquid Crystal Institute at Kent State University	invention, network, smart data, liquid crystal display
Licastro, Amanda Marie	https://dh2017.adho.org/abstracts/375/375.pdf	cc-by	Teaching Empathy Through Virtual Reality	virtual reality, pedagogy, interdisciplinary, diversity, empathy
Litta, Eleonora	https://dh2017.adho.org/abstracts/085/085.pdf	cc-by	Exploring Word Formation Latin	derivational morphology, latin linguistics, computational linguistics, language resources
Liu, Alan; Champagne, Ashley; Douglass, Jeremy; Kleinman, Scott; Russell, Jamal; Thomas, Lindsay	https://dh2017.adho.org/abstracts/034/034.pdf	cc-by	Open, Shareable, Reproducible Workflows for the Digital Humanities: The Case of the 4Humanities.org &#8220;WhatEvery1Says&#8221; Project	topic modelling, workflow management, provenance tracking, virtual machine, humanities advocacy
Liu, Chao-Lin	https://dh2017.adho.org/abstracts/612/612.pdf	cc-by	Flexible Computing Services for Comparisons and Analyses of Classical Chinese Poetry	history of words, styles, word preferences, word networks, social networks
Liu, Chao-Lin; Zhang, Shuhua; Geng, Yuanli; Lai, Huei-ling; Wang, Hongsu	https://dh2017.adho.org/abstracts/080/080.pdf	cc-by	Character Distributions of Classical Chinese Literary Texts: Zipf’s Law, Genres, and Epochs	Chinese poetry, Chinese literature, Literary Chinese, Zipf&#8217;s law
Lorenzini, Matteo; Sanna, Luca	https://dh2017.adho.org/abstracts/308/308.pdf	cc-by	Lifting the knowledge from Medieval Age: CIDOC-CRM for Nurcara Project.	CIDOC-CRM, D2RQ, MySQL
Lucic, Ana; Shanahan, John	https://dh2017.adho.org/abstracts/277/277.pdf	cc-by	Real and Imagined Geography at City-Scale: Sentiment Analysis of Chicago’s “One Book” Program	sentiment analysis, named entity recognition, text analysis, natural language processing
Léveillé Gauvin, Hubert; Condit-Schultz, Nathaniel; Arthur, Claire	https://dh2017.adho.org/abstracts/265/265.pdf	cc-by	Supplementing Melody, Lyrics, and Acoustic Information to the McGill Billboard Database	McGill Billboard Database, popular music, corpus study
Madron, Justin; Ayers, Nathaniel	https://dh2017.adho.org/abstracts/253/253.pdf	cc-by	American Panorama: An Atlas of United States History	Open Source Web Mapping, GIS, American History, Geovisualization, Cartography
Malta, Joana; Lisboa, Pedro	https://dh2017.adho.org/abstracts/065/065.pdf	cc-by	Mapping Concepts and Authors from 20th Century Portuguese Magazines of Ideas and Culture	history of ideas, magazines, visualization, Portuguese history, intellectuals
Marecki, Piotr; Małecka, Aleksandra	https://dh2017.adho.org/abstracts/634/634.pdf	cc-by	Between Page and Screen by Amaranth Borsuk and Brad Bouse. Translating an AR poetry book	electronic literature, creative computing, augmented reality, traslation studies
Marecki, Piotr; Woynarowski, Jakub	https://dh2017.adho.org/abstracts/364/364.pdf	cc-by	The Creative Computing Lab in Poland	creative computing, exploratory programming, platform studies, digital media
Marraccini, Miranda Claire	https://dh2017.adho.org/abstracts/282/282.pdf	cc-by	The Victoria Press Circle	network, visualization, print, women, collaboration
Maryl, Maciej; Eder, Maciej	https://dh2017.adho.org/abstracts/390/390.pdf	cc-by	Topic Patterns in an Academic Literary Journal: The Case Of &#8220;Teksty Drugie&#8221;	Topic modelling, literary studies, networks, sociology of literature, Poland
Mathiak, Brigitte; Kronenwett, Simone	https://dh2017.adho.org/abstracts/164/164.pdf	cc-by	A Survey on Research Data at the Faculty of Arts and Humanities of the University of Cologne	digital humanities, questionnaire, research data, research data management
Matoni, Markus; Oltersdorf, Jenny; Roorda, Dirk	https://dh2017.adho.org/abstracts/327/327.pdf	cc-by	Humanities At Scale – Creating A Network Of Expertise And A Sustainable Infrastructure For Digital Humanities Projects In Europe	infrastructure, Digital Humanities, framework
Mattock, Lindsay Kistler	https://dh2017.adho.org/abstracts/443/443.pdf	cc-by	Mapping the Meshwork of the Independent Media Arts	archives, mapping, project design, media arts, meshwork
Mauro, Aaron Mathew	https://dh2017.adho.org/abstracts/119/119.pdf	cc-by	Chatbot Based Content Discovery: Faulkner Bot in the Archive	chatbot, archive, artificial intelligence, python, intelligent assistants
Mauro, Aaron Mathew	https://dh2017.adho.org/abstracts/120/120.pdf	cc-by	Credit Allocation with the Social Knowledge Timeline	collaboration, authorship, pedagogy, ethics, credit
McDonald, Robert H.	https://dh2017.adho.org/abstracts/460/460.pdf	cc-by	Research Center as Distant Publisher: Developing Non-Consumptive Compliant Open Data Worksets to Support New Modes of Inquiry	HathiTrust, Research, Center, Non-Consumptive, Text Analysis
McGarry, Shane Adam	https://dh2017.adho.org/abstracts/225/225.pdf	cc-by	Designing from a Narrative: Leveraging the 6 Point Story Method to Facilitate Interaction Design in Digital Humanities Projects	digital reading, psychology, interaction design, user experience design
McGrath, Jim; Martinez, Monica; Hansen, Cole; Jiao, Edward	https://dh2017.adho.org/abstracts/447/447.pdf	cc-by	Mapping Violence: Visualizing State-Sanctioned Racial Violence on the Mexico/Texas Border (1900-1930)	digital mapping, ethnic studies, undergraduate collaborations, visualization
McGrath, Jim; Schroeder, Robyn; Zwart, Inge	https://dh2017.adho.org/abstracts/486/486.pdf	cc-by	Public Humanities: In Search Of A Field	institutional memory, public humanities
McLaughlin, Stephen Reid	https://dh2017.adho.org/abstracts/614/614.pdf	cc-by	Online Shadow Libraries and the Future of Humanities Scholarship	shadow libraries, file sharing, piracy, digital archives
Meister, Jan Christoph; Drucker, Johanna; Rockwell, Geoffrey	https://dh2017.adho.org/abstracts/058/058.pdf	cc-by	Modelling Interpretation in 3DH: New dimensions of visualization	visualization, interpretation, modelling
Meister, Jan Christoph; Gius, Evelyn; Horstmann, Jan; Jacke, Janina; Petris, Marco	https://dh2017.adho.org/abstracts/659/659.pdf	cc-by	CATMA 5.0 Tutorial	annotation, text analysis, literary studies, tools
Melton, Sarah; Dalmau, Michelle; Dimmock, Nora; Tracy, Dan; Glass, Erin	https://dh2017.adho.org/abstracts/112/112.pdf	cc-by	ARL Digital Scholarship Institute	libraries, training, pedagogy, digital scholarship
Meneses, Luis; Mallen, Enrique	https://dh2017.adho.org/abstracts/043/043.pdf	cc-by	Semantic Domains in Picasso’s Poetry	Picasso, poetry, topic modeling
Meneses, Luis; Furuta, Richard	https://dh2017.adho.org/abstracts/452/452.pdf	cc-by	Shelf life: Identifying the Abandonment of Online Digital Humanities Projects	abandonment, life span, preservation, digital projects
Menon, Nirmala	https://dh2017.adho.org/abstracts/121/121.pdf	cc-by	Decolonizing Knowledge Structures in Open Access and Scholarly Publishing	Open Access, Scholarly Publishing, Translation, multilingual, #digitalinfrastructures
Merritt II, Donald F.; Johnson, Emily Kuzneski; Giroux, Amy Larner	https://dh2017.adho.org/abstracts/417/417.pdf	cc-by	ELLE the EndLess LEarner: Exploring Second Language Acquisition Through an Endless Runner-style Video Game	second language acquisition, language learning, videogames, serious game design
Mertel, Adam; Glomb, Tomáš; Stachoň, Zdeněk	https://dh2017.adho.org/abstracts/050/050.pdf	cc-by	Regrowing Egyptian Cults	history of religions, egyptian cults, geographical analysis, network analysis, statistical analysis
Meunier, Jean-Guy; Chartrand, Louis; Cheung, Jackie C.K.; Valette, Mathieu; Bayle, Marie-Noëlle	https://dh2017.adho.org/abstracts/138/138.pdf	cc-by	Computer-Assisted Conceptual Analysis of Textual Data as Applied to Philosophical Corpuses	conceptual analysis, text mining, computer-assisted conceptual analysis, textual data
Mimirinis, Mike	https://dh2017.adho.org/abstracts/102/102.pdf	cc-by	Faculty conceptions of e-assessment	academic development, assessment, e-assessment, social media, digital university
Moritz, Maria; Büchler, Marco	https://dh2017.adho.org/abstracts/142/142.pdf	cc-by	An Automated Approach to Model the Transformation Process of the Reuse of Bernard de Clairvaux: How Do Lexical Resources help?	text reuse, lexical, word net, operation, transformation model
Mousselly Sergieh, Hatem; Piotrowski, Michael; Gurevych, Iryna	https://dh2017.adho.org/abstracts/163/163.pdf	cc-by	EGOlink: Supporting Editors of Online Historical Sources through Automatic Link Discovery	Entity linking, link discovery, European History, EGO
Mozhaeva, Galina; Mozhaeva Renha, Polina; Zakharova, Ulyana	https://dh2017.adho.org/abstracts/427/427.pdf	cc-by	Infrastructure and information environment of Digital Humanities from the perspective of scientific analysis	Digital humanities, information environment, information interactions, information technologies in humanities research.
Murr, Sandra; Barth, Florian	https://dh2017.adho.org/abstracts/352/352.pdf	cc-by	Digital Analysis Of The Literary Reception Of J.W. V. Goethe’s Die Leiden Des Jungen Werthers	Goethe, Werther, Networks, Adaptations, Emotionanalysis, Wertheriaden
Murrieta-Flores, Patricia; Howell, Naomi	https://dh2017.adho.org/abstracts/405/405.pdf	cc-by	Contested Spaces: Creating Computational Approaches for the Holistic Analysis of Space and Place in Digital Humanities	Spatial narratives, imaginary space and place, GIS, medieval, literary geographies
Musaoğlu, Onur; Dağ, Özge; Küçükakça, Özge; Akdag Salah, Alkim Almila; Salah, Albert Ali	https://dh2017.adho.org/abstracts/592/592.pdf	cc-by	A Generic Tool for Visualizing Patterns in Poetry	poetry analysis, poetry visualization
Münster, Sander	https://dh2017.adho.org/abstracts/378/378.pdf	cc-by	Seven Years of Research on Digital 3D Reconstruction in Humanities – Results, Implications And perspectives	Digital 3D reconstruction and visualization, visual humanities, education, methodology, organization, structures
Münster, Sander; Kröber, Cindy; Friedrichs, Kristina; Bruschke, Jonas; Henze, Frank; Niebling, Florian	https://dh2017.adho.org/abstracts/123/123.pdf	cc-by	Novel Approaches to research and discover urban history	urban history, photogrammetry, augmented reality, 3D, user studies
Nagasaki, Kiyonori; Tsuda, Tetsuei; Kitazaki, Yuho; Muller, A. Charles; Shimoda, Masahiro	https://dh2017.adho.org/abstracts/185/185.pdf	cc-by	A Collaborative Approach between Art History and Literature via IIIF	Buddhist icons, IIIF, linking images with texts
Nanni, Federico; Marinov, Nikolay; Ponzetto, Simone Paolo; Dietz, Laura	https://dh2017.adho.org/abstracts/410/410.pdf	cc-by	Building Entity-Centric Event Collections For Supporting Research in Political and Social History	web archives, event collections, entities, information retrieval, knowledge graph
Nanni, Federico; Zhao, Yang; Ponzetto, Simone Paolo; Dietz, Laura	https://dh2017.adho.org/abstracts/068/068.pdf	cc-by	Enhancing Domain-Specific Entity Linking in DH	entity linking, knowledge base, wikis, knowledgre graph, word-sense disambiguation
Nieves, Angel; Gallon, Kim; Kim, David J.; Nesbit, Scott; Carter, Bryan; Johnson, Jessica	https://dh2017.adho.org/abstracts/285/285.pdf	cc-by	Black Spatial Humanities: Theories, Methods, and Praxis in Digital Humanities (A Follow-up NEH ODH Summer Institute Panel)	race, place, Africana Studies, Black Studies, spatial humanities
Noordegraaf, Julia; Visser, Jolanda; Boter, Jaap; Biltereyst, Daniel; Meers, Philippe; Kisjes, Ivan	https://dh2017.adho.org/abstracts/586/586.pdf	cc-by	(Not) Going to the Movies: A geospatial analysis of cinema markets in The Netherlands and Flanders (1950-1975)	Cinema Culture, Geospatial Analysis, Cinema Markets, Cinema Audiences, Consumption
Norén, Fredrik; Mähler, Roger	https://dh2017.adho.org/abstracts/137/137.pdf	cc-by	Text Mining the History of Information Politics Through Thousands of Swedish Governmental Official Reports	topic modeling, mallet, governmental reports, co-occurring topics, sweden
Nowak, Krzysztof	https://dh2017.adho.org/abstracts/114/114.pdf	cc-by	Voces. An R-based Dashboard for Lexical Semantics	lexical statistics, R, shiny, dashboard design, Latin, visualisation, semantics, diachronic linguistics
Nowak, Krzysztof	https://dh2017.adho.org/abstracts/055/055.pdf	cc-by	eLexicon. Dictionary of Polish Medieval Latin: from TEI encoding to an eXist-db application	scholarly lexicography, dictionary digitization, TEI XML, XML databases, XQuery, Medieval Latin, eXist-db
Nurmikko-Fuller, Terhi; Bangert, Daniel; Abdul-Rahman, Alfie	https://dh2017.adho.org/abstracts/305/305.pdf	cc-by	All the Things You Are: Accessing An Enriched Musicological Prosopography Through JazzCats	digital musicology, ontologies, linked data, data reuse, jazz
Nygren, Catherine	https://dh2017.adho.org/abstracts/636/636.pdf	cc-by	Text Mining Eighteenth-Century Travel Writing: The “I” and Autobiography of Narration	Machine learning, text mining, narration, British, travel writing, eighteenth century
Nyhan, Julianne; Terras, Melissa	https://dh2017.adho.org/abstracts/358/358.pdf	cc-by	Uncovering ‘hidden’ contributions to the history of Digital Humanities: the Index Thomisticus’ female keypunch operators	history of digital humanities; collaboration; Roberto Busa; Index Thomisticus; foundation narratives
Núñez, Alexandra; Gerloff, Malte; Do Dinh, Erik-Lân; Rapp, Andrea; Gehring, Petra; Gurevych, Iryna	https://dh2017.adho.org/abstracts/041/041.pdf	cc-by	A “Wind of Change” &#8211; Shaping Public Opinion of the “Arab Spring” Using Metaphors	metaphors, metaphor detection, arab spring
OGISO, Toshinobu; KONDO, Asuko; MABUCHI, Yoko; HATTORI, Noriko	https://dh2017.adho.org/abstracts/181/181.pdf	cc-by	Construction of the “Corpus of Historical Japanese: Meiji-Taisho Series I &#8211; Magazines”	Corpus of Historical Japanese, diachronic corpus, early magazines
Olieman, Alex; Beelen, Kaspar	https://dh2017.adho.org/abstracts/579/579.pdf	cc-by	“Cast Your Net Wide: Finding Historical References in Parliamentary Data&#8221;	Exploratory Search, Semantic Search, Parliamentary History, Commemorative Practices
Olive, Jennifer	https://dh2017.adho.org/abstracts/254/254.pdf	cc-by	Trauma Representations in Videogames	trauma studies, videogames, empathy games, new media, witnessing
Opeibi, Tunde Olusola; Aina, Olusola Abiodun	https://dh2017.adho.org/abstracts/567/567.pdf	cc-by	Many Tongues, Multiple Networks: A Corpus-Based Pragmatic Study of Multilingualism on Nigerian Virtual Political Space	New Media, Corpus Construction, Digital Humanities
Orekhov, Boris V.; Tolstoy, Fekla	https://dh2017.adho.org/abstracts/602/602.pdf	cc-by	Textograf: Web Application for Manuscripts Digitization	manuscripts, digitalization, web-app
Organisciak, Peter; Franklin, Samuel	https://dh2017.adho.org/abstracts/563/563.pdf	cc-by	Modeling Creativity: Tracking Long-term Lexical Change	topic modeling, pre-processing
Ortega, Élika; Radio, Erik	https://dh2017.adho.org/abstracts/393/393.pdf	cc-by	A Handbook of Electronic Literature Reading	electronic literature, reading, media
Otis, Jessica	https://dh2017.adho.org/abstracts/089/089.pdf	cc-by	Death by Numbers: Bills of Mortality in Early Modern London	London, England, plague, mortality, early modern
Padilla, Thomas; Potvin, Sarah; Allen, Laurie; Varner, Stewart	https://dh2017.adho.org/abstracts/670/670.pdf	cc-by	Shaping Humanities Data: Use, Reuse, and Paths Toward Computationally Amenable Cultural Heritage Collections	data, user studies, research, pegadogy
Page, Kevin; Nurmikko-Fuller, Terhi; Cole, Timothy; Downie, J. Stephen	https://dh2017.adho.org/abstracts/606/606.pdf	cc-by	Building Worksets for Scholarship by Linking Complementary Corpora	worksets, HathiTrust, Linked Data, EEBO-TCP
Page, Kevin; Lewis, David; Weigl, David	https://dh2017.adho.org/abstracts/585/585.pdf	cc-by	Contextual Interpretation of Digital Music Notation	digital musicology, music notation, Music Encoding Initiative (MEI), Linked Data, contextual interpretation
Papastamkou, Sofia	https://dh2017.adho.org/abstracts/450/450.pdf	cc-by	Twitter Comme Source Pour l’Histoire Du Temps Présent : Le Référendum Grec De 2015 Comme Etude de Cas	twitter, social media, history
Pardoen, Mylène	https://dh2017.adho.org/abstracts/381/381.pdf	cc-by	L’archéologie du paysage sonore : l’Histoire à portée de nos oreilles	Paysage sonore, hétérographie, restitution, archéologie, quotidien
Pardoen, Mylène	https://dh2017.adho.org/abstracts/386/386.pdf	cc-by	Bretez II : La machine à remonter le temps	Paysage sonore, hétérographie, réalité virtuelle, archéologie, réalité augmentée
Paris, Britt S.; Cifor, Marika	https://dh2017.adho.org/abstracts/100/100.pdf	cc-by	Throughlines: Exposing Activism and Social Justice Issues In Los Angeles Transportation History	Black Lives Matter, Los Angeles, Highways, Protest, Freeways
Parke, Elizabeth Chamberlin; Ridolfo, Liz	https://dh2017.adho.org/abstracts/076/076.pdf	cc-by	Genealogies of VR in the archives	Stereoscope viewers, Photography, History of Virtual Realty, Mobile Application Design
Pawłowski, Adam Tomasz	https://dh2017.adho.org/abstracts/533/533.pdf	cc-by	Political Correctness in the Polish Press between 1945 and 1962. Historical Culturomics of Names of Nationalities, Ethnic Groups, and ‘Sensitive’ Lexemes based on the ChronoPress Corpus of Polish.	political correctness, culturomics, press, Polish, Central-Eastern Europe
Peaker, Alicia; Moro, Jeffrey; Boyles, Christina; Weber, Nicholas; Linley, Margaret; Barbieri, Lindsay	https://dh2017.adho.org/abstracts/471/471.pdf	cc-by	The Environmental and Human Costs of DH	environmental humanities, digital environmental humanities, environment, digital ecologies
Perry, Nandra; Tarpley, Bryan Paul	https://dh2017.adho.org/abstracts/593/593.pdf	cc-by	The Psalter Project: Providing Mediated Access to Religio-Political Subjects in Early Modern England	Early Modern, Religion, Marginalia, Web Application
Peña Pimentel, Miriam; Ricaurte, Paola; Álvarez Sánchez, Adriana; Romero Frías, Esteban; Suárez Guerrero, Cristobal; Brussa, Virginia; Ortega, Enedina; Morales Rodríguez, Ana Teresa; Ramírez Martinell, Alberto	https://dh2017.adho.org/abstracts/262/262.pdf	cc-by	Humanidades Digitales en Iberoamérica: desafíos institucionales para su desarrollo y consolidación	instituciones de educación superior, producción de conocimiento, métodos digitales, aprendizaje, pedagogía
Piasecki, Maciej; Walkowiak, Tomasz; Maryl, Maciej	https://dh2017.adho.org/abstracts/526/526.pdf	cc-by	Literary Exploration Machine. New Tool for Distant Readers of Polish Literature.	digital literary studies, natural language processing, text mining, content analysis, web-based system
Piper, Andrew; Algee-Hewitt, Mark; Sinha, Koustuv; Ruths, Derek; Vala, Hardik	https://dh2017.adho.org/abstracts/103/103.pdf	cc-by	Studying Literary Characters and Character Networks	character, social networks, literature, natural language processing, text mining
Polyck-O&#8217;Neill, Julia; Kalkstein, Molly	https://dh2017.adho.org/abstracts/353/353.pdf	cc-by	Negotiating Meaning and Value: Institutional Research Assistantships, Digital Projects, and Art History	archives, digital art history, institutional cultures, research assistantships, museums
Portelance, Eva; Piper, Andrew	https://dh2017.adho.org/abstracts/172/172.pdf	cc-by	Understanding Narrative: Computational Approaches to Detecting Narrative Frames	text mining, narrative, plotline, segmentation
Porter, Dot; Gillespie, Alexandra; Campagnolo, Alberto; Mitchell, Laura; Di Cresce, Rachel	https://dh2017.adho.org/abstracts/439/439.pdf	cc-by	VisColl: Visualizing the physical structure of medieval manuscripts, a poster and demonstration	medieval, manuscript, visualization, manuscript studies, book history
Pretnar, Ajda; Colnerič, Niko; Žagar, Lan	https://dh2017.adho.org/abstracts/653/653.pdf	cc-by	Hands on Text Analytics with Orange	data mining, visual programming, interactive visualization, text mining
Quamen, Harvey	https://dh2017.adho.org/abstracts/519/519.pdf	cc-by	The London Brewers&#8217; Prosopography: Parsing Historical Apprenticeship Records	language parsing, apprenticeship history, brewing history, entity recognition
Ramey, Lynn	https://dh2017.adho.org/abstracts/099/099.pdf	cc-by	Medieval Textual Transmission Modeling in Unity3D	folktales, gaming, medieval, transmission, spatiality
Ramos, Daniela Karine; Anastacio, Bruna	https://dh2017.adho.org/abstracts/260/260.pdf	cc-by	The Use of the Cognitive Digital Games in School: Contributions for the Attention	digital games, media in education, learning, school
Reeve, Jonathan Pearce; Terlunen, Milan; Eckert, Sierra	https://dh2017.adho.org/abstracts/264/264.pdf	cc-by	Frequently Cited Passages Across Time: New Methods for Studying the Critical Reception of Texts	text reuse, quotation, citation, literature
Reiter, Nils; Gius, Evelyn; Strötgen, Jannik; Willand, Marcus	https://dh2017.adho.org/abstracts/192/192.pdf	cc-by	A Shared Task for a Shared Goal: Systematic Annotation of Literary Texts	shared task, narratology, annotation guidelines
Reiter, Nils; Overbeck, Maximilian; Murr, Sandra	https://dh2017.adho.org/abstracts/656/656.pdf	cc-by	From Text to Networks: Combining Entity and Segment Annotations in the Analysis of Large Text Corpora	annotation, network extraction, entity detection, segmentation
Ricciardi, Emiliano	https://dh2017.adho.org/abstracts/145/145.pdf	cc-by	&#8220;Tasso in Music Project: Digital Edition of the Settings of Torquato Tasso&#8217;s Poetry, ca. 1570-1640&#8221;	Editing, Encoding, Music, Poetry, Renaissance
Risam, Roopika; Earhart, Amy	https://dh2017.adho.org/abstracts/144/144.pdf	cc-by	Citational Politics: Quantifying Impact in Digital Scholarship in the Humanities	citations, gender, nation, text mining, diversity
Risam, Roopika; Edwards, Susan	https://dh2017.adho.org/abstracts/196/196.pdf	cc-by	Micro DH: Digital Humanities at the Small Scale	minimal computing, pedagogy, collaboration, scale, diversity
Risi, Stephan	https://dh2017.adho.org/abstracts/560/560.pdf	cc-by	Ngrams Against Agnotology: Combatting Tobacco Industry Narratives About Addiction Through A Quantitative Analysis of 14 Million Documents	term frequency analysis, public health, politics of knowledge
Rivard, Courtney J.; Wexler, Laura	https://dh2017.adho.org/abstracts/188/188.pdf	cc-by	Photogrammar and the Federal Writer’s Project: A Model for Teaching Data and Mapping Rhetoric	archives, encoding, pedagogy, collaboration, diversity
Robertson, Stephen Murray; Mullen, Abigail Garland	https://dh2017.adho.org/abstracts/013/013.pdf	cc-by	Tropy: A Tool for Research Photo Management	digital research, image management, open access, software
Robinson, Peter; Bordalejo, Barbara	https://dh2017.adho.org/abstracts/363/363.pdf	cc-by	A Scholarly Edition for Mobile Devices	textual scholarship; mobile devices; access
Rodríguez-Ortega, Nuria; Pino-Díaz, José	https://dh2017.adho.org/abstracts/478/478.pdf	cc-by	Análisis De las Asociaciones Entre Artistas En El Ámbito Expositivo: Nueva Metodología De Exploración Y Nuevos Parámetros Interpretativos	exposiciones artísticas, análisis de redes, clasificación jerárquica de clústeres, análisis de correspondencias, análisis de palabras asociadas
Romero-López, Dolores; Cotarelo-Estaban, Lucía; Bueren-Gómez-Acebo, Jose Luis	https://dh2017.adho.org/abstracts/156/156.pdf	cc-by	Mnemosine, Biblioteca Digital de La otra Edad de Plata (1868-1936)	Digital library, metadata, Mnemosine, uses of the past
Rosenthaler, Lukas; Bianco, Andrea; Fornaro, Peter	https://dh2017.adho.org/abstracts/259/259.pdf	cc-by	Integrating Image Resources Into Virtual Research Environments For The Humanities – a Simple Image Presentation Interface (SIPI) based on IIIF	IIIF, images, image server, imaging
Rosenthaler, Lukas; Fornaro, Peter R.	https://dh2017.adho.org/abstracts/072/072.pdf	cc-by	PERsonalIzed COlour ProfilEs PERiSCOPE: A modern methodology for rendering colour in digital media displays	Personalized Color Profiles, Standard Observer, Color Vision, Color Perception
Rosenthaler, Lukas; Geer, Benjamin; Subotic, Ivan; Schweizer, Tobias; Fornaro, Peter	https://dh2017.adho.org/abstracts/248/248.pdf	cc-by	A Platform For Long-Term Accessibility Of Research Data In The Humanities	research data, access, repository
Routsis, Vasileios; Goudarouli, Irene	https://dh2017.adho.org/abstracts/182/182.pdf	cc-by	Mapping the Enlightenment: Intellectual Networks and the Making of Knowledge in the European Periphery	digital mapping, enlightment, history of science, intellectual networks, knowledge
Rucar, Yan; Ganascia, Jean-Gabriel	https://dh2017.adho.org/abstracts/320/320.pdf	cc-by	Une Ontologie Pour Archiver Et Donner Accès Aux OEuvres Numériques Littéraires	Archives, Littérature numérique, Œuvres éphémères
Rudman, Joseph	https://dh2017.adho.org/abstracts/246/246.pdf	cc-by	Collaboration: An Insurmountable Problem In The Non-Traditional Authorship Attribution Studies Of The Dramatic Canon Of William Shakespeare	Authorship Attribution, Shakespeare, Stylistics, Collaboration
Ruiz Fabo, Pablo J; Martínez Cantón, Clara I; Poibeau, Thierry	https://dh2017.adho.org/abstracts/485/485.pdf	cc-by	Distant Rhythm: Automatic Enjambment Detection on Four Centuries of Spanish Sonnets	enjambment, syntactic parsing, natural language processing, poetry, spanish
Rust, Amanda; Flanders, Julia	https://dh2017.adho.org/abstracts/266/266.pdf	cc-by	Information and System Design for Diversity: Can We Do Better?	cultural heritage, diversity, culturally sensitive materials, pedagogy, GLAM
Saklofske, Jon	https://dh2017.adho.org/abstracts/454/454.pdf	cc-by	Playful Instruments: Reimagining Games as Tools for Research and Scholarly Communication	games, research, tools, scholarship, communication
Sauret, Nicolas; Chateau, Emmanuel; Juchereau, Arthur; Monjour, Servanne; Vitali Rosati, Marcello; Sinatra, Michael	https://dh2017.adho.org/abstracts/224/224.pdf	cc-by	Stylo: Repenser la chaîne éditoriale numérique pour les revues savantes en sciences humaines	édition numérique, éditorialisation, chaine éditoriale, revue scientifique, diffusion scientifique
Schindler, Christoph; Veja, Cornelia; Kminek, Helge	https://dh2017.adho.org/abstracts/514/514.pdf	cc-by	Interfacing Collaborative and Multiple-Layered Spaces of Interpretation in Humanities Research. The Case of Semantically-Enhanced Objective Hermeneutics.	Semantic Web, Interpretation, Collaboration, Linked Open Data, Research Environment
Schlesinger, Claus-Michael	https://dh2017.adho.org/abstracts/394/394.pdf	cc-by	Genetic Editions to the Extreme? Conserving Historical Text Generators	generative esthetics, textgenerator, software edition, informational esthetics
Schloots, Franziska; Meise, Bianca; Stadler, Peter; Müller-Lietzkow, Jörg; Meister, Dorothee; Kepper, Johannes; Röwenstrunk, Daniel	https://dh2017.adho.org/abstracts/356/356.pdf	cc-by	Reconstruction – Representation – Collaboration. Interdisciplinary Approaches To Changes In Contexts Of Digital (Music) Editions	Interdisciplinarity, music editions, scientific work, representation, digitization
Schmidt, Benjamin	https://dh2017.adho.org/abstracts/497/497.pdf	cc-by	Stable Random Projection: Minimal, universal dimensionality reduction for library-scale data	Dimensionality Reduction, Text Mining, Digital Libraries
Schreibman, Susan; Kerr, Sara; McGarry, Shane	https://dh2017.adho.org/abstracts/132/132.pdf	cc-by	The Third Way: Discovery Beyond Search and Browse in Letters of 1916	topic modelling, vector space modelling with t-SNE vector reduction, semantic network analysis
Schreibman, Susan; Papadopoulos, Constantinos; Hughes, Brian; Rooney, Neale; Brennan, Colin; Mac Caba, Fionntan; Healy, Hannah	https://dh2017.adho.org/abstracts/401/401.pdf	cc-by	Phygital Augmentations for Enhancing History Teaching and Learning at School	augmented reality, mobile app, teaching, learning, physical interaction
Schulthess, Sara; Chasapi, Anastasia; Xenarios, Ioannis; Sankar, Martial; Clivaz, Claire	https://dh2017.adho.org/abstracts/020/020.pdf	cc-by	HumaReC project: digital New Testament and continuous data publishing	Multilingual manuscript, continuous data publishing, New Testament
Schweizer, Tobias Julius; Alassi, Sepideh; Mattmüller, Martin; Rosenthaler, Lukas; Harbrecht, Helmut	https://dh2017.adho.org/abstracts/147/147.pdf	cc-by	Integrating historical scientific texts into the Bernoulli-Euler Online platform	digital edition, history of science, historical scientific texts
Seaward, Louise; Kallio, Maria	https://dh2017.adho.org/abstracts/649/649.pdf	cc-by	Transkribus: Handwritten Text Recognition technology for historical documents	Digitisation, Archives, Handwriting Recognition, OCR
Seguin, Benoit; di Lenardo, Isabella; Kaplan, Frédéric	https://dh2017.adho.org/abstracts/562/562.pdf	cc-by	Tracking Transmission of Details in Paintings	Digital Art History, Visual Search Engine, Detail matching
