article,num affs,Text analysis/mining,Digital heritage and multimedia,Textual scholarship,Data preservation and  digital curation,DH discipline,NLP,Other,year
10.1007_s42803-019-00002-y,1,0.0046324068680403,0.8070470184902659,0.1330767422914505,0.0023162038996814,0.0007720679277554,0.00077206781134,0.051383448299020404,2019
10.1007_s42803-019-00003-x,1,0.5143709088442846,0.11637338215950871,0.0008943903376348,0.0026831700233741,0.0008943899883888,0.0008943896973505,0.3638893287861719,2019
10.1007_s42803-019-00005-9,2,0.0081566784065214,0.0027188931126146,0.0013594465563073,0.9823271904606369,0.0013594469055533,0.001359446439892,0.0027188931126146,2019
10.1007_s42803-019-00005-9,2,0.0081566784065214,0.0027188931126146,0.0013594465563073,0.9823271904606369,0.0013594469055533,0.001359446439892,0.0027188931126146,2019
10.1007_s42803-019-00006-8,2,0.0034423039760436997,0.17154634778853492,0.0005737174651585,0.6853795507922767,0.0005737174651585,0.0005737174069508,0.137910627061501,2019
10.1007_s42803-019-00006-8,2,0.0034423039760436997,0.17154634778853492,0.0005737174651585,0.6853795507922767,0.0005737174651585,0.0005737174069508,0.137910627061501,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00007-7,7,0.0030768468277525994,0.0010256159584969,0.0538465715944767,0.680076941847801,0.2604356110095978,0.0005128079210408,0.0010256159584968,2019
10.1007_s42803-019-00008-6,7,0.003074587206356,0.0010248625767415999,0.000512431259267,0.1391636385815216,0.8546872138977051,0.000512431259267,0.0010248625185339,2019
