iso_a3,year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
FRA,2018,1.398790053842175,1.0010608170996416,1.224542457933744,0.12991643724186935,0.6905791112771511,1.021005334723869,0.0063280676194049906
FRA,2019,0.19424033924587972,0.018390289077068928,0.8440809925785283,0.9366616931394673,0.4994954659021454,0.22899064542143488,1.9781406530877579
FRA,2020,1.0324101193778916,0.31631666658213325,0.8716995489172402,0.425859789655078,0.641281179024372,0.7301972798857588,0.03223532752308503
GBR,2000,0.009164824674371299,0.19968063686974222,2.1610344426590014,1.8258646072936242,0.5683857484254976,2.5976174228126157,1.1382524401415135
GBR,2001,0.006474031945911856,0.5487141367868468,0.7530198872366562,1.5550544492002307,0.012948063986064885,3.0601725028811133,0.006474032237504688
GBR,2002,0.8061551183927803,0.9285540033597497,0.2315950400661675,0.0033695825841276,0.0067391630727795995,0.020217494806274196,0.0033695825841276
GBR,2003,0.0035251691588199002,0.9883436392895715,1.3095409813007182,0.16670499649868956,0.0070503383661461,1.3546431392023794,0.0035251689550930836
GBR,2004,0.0018696285066349331,0.005608885112451183,0.0037392569356596668,0.0018696287782707169,0.0037392569550622,2.1479704035834097,0.0018696286424528166
GBR,2005,1.4935007491013184,1.7255028205060303,4.258621078254266,0.799759439133534,0.019578315911347594,3.6238767059762376,1.4458277316938615
GBR,2006,0.9891883491945919,1.2448991597630077,0.9995218813128298,0.003283400845248,0.006566801253938602,1.2993075726844823,0.4572328043868765
GBR,2007,1.0769290210291116,3.839112477109301,2.9164192244488127,0.5560069785763816,0.62563971246903,3.0420400979657023,0.010519251693039522
GBR,2008,2.8331256042777877,8.573841224693268,3.3943310798970416,1.5022849026989797,0.8663618982624005,2.2028280642698452,0.5938941300574988
GBR,2009,1.9127804649489306,5.764782092878399,1.5508930944245842,0.40920215700655965,0.7874248007632544,4.029390036941425,3.578860640709171
GBR,2010,2.5855295159077896,5.818341029507186,3.403597476329498,1.6631297296650391,0.31114989383301217,1.570928706797223,1.9806570564105639
GBR,2011,4.0051976426600175,8.006642045130967,4.968897199150107,2.807023866378585,0.48517937446220694,4.077748296228009,0.7683592323072448
GBR,2012,0.8635385626674773,4.270335776947708,4.859570051395955,1.4976293958189966,2.813893595413536,3.074350541808714,2.320682161357642
GBR,2013,4.988319328623281,6.620622619554825,0.6220419756796502,2.5912316788555474,1.0561793426696855,3.8578570325039063,1.122081558928766
GBR,2014,0.8005223547050256,2.0545684112410507,0.5194150863040697,0.8552365368173921,2.966353125777094,3.8186790841631555,1.1852255776873792
GBR,2015,1.1162662539057364,4.9523588169842885,2.1010730588573034,0.21645041554999875,1.0060769464856647,4.2385295450870295,1.0787687129047252
GBR,2016,1.3373300905694228,7.085926880836188,3.0454725008191077,1.2375251622194932,1.068149643748171,1.432996224368768,0.8223614789298835
GBR,2017,1.2006617861142979,6.083855237263683,3.363669401084462,0.7373476135656726,2.1788079340922804,5.171214130384585,2.7263487680049474
GBR,2018,3.0158354343644325,3.0768990501826083,3.403945416768128,2.7426357434967126,0.24009580203661673,3.2986865752137278,1.8941240812973559
GBR,2019,2.058584487410067,6.894281916221367,4.275453133352372,4.262583872346053,3.4579599176135773,4.714847083191846,2.5529563052521547
GBR,2020,0.8364963455483828,4.00176667629324,3.8212749890015396,0.03432733792045159,0.7078294325823651,2.2596176067338885,0.006743054636737325
GHA,2013,0.00013806342030873333,0.33153851330280304,0.0002761267339034333,0.00013806336210106667,0.00027612671450086664,0.0008283800949961999,0.0001380633815036333
GRC,2001,0.0013484509545377,0.0040453530382362005,0.0903591107344254,0.4501530939596705,0.0026969023747368,1.450048646656796,0.0013484511291607
GRC,2004,0.00018616889913876668,0.0005585066780137,0.0003723377400698333,0.09142778317133587,0.00037233768186220004,0.24023002248335,0.00018616884093110002
GRC,2005,0.0012257175985723,0.0036771534942088,0.0024514354299753002,0.6001485586166382,0.0024514351971446,0.3888200309593228,0.0012257175985723
GRC,2006,0.0004596734361257,0.0013790203665847,0.8328442001657095,0.0004596736107487,0.0009193468722514,0.1634784165944437,0.0004596734361257
GRC,2010,0.09010678088192685,0.20167486138442206,0.9908516357785887,0.9946615450400192,0.4639135189728609,0.5423213507456229,0.0021845716068386286
GRC,2011,0.0004342057509347,0.13675096794031538,0.0008684115600772,0.0004342058382462,0.0008684115018694,0.8602095735550389,0.0004342057509347
GRC,2012,0.001706994837149925,0.1352138420043045,0.0034139901981687752,0.05820663544000119,0.0034139894123653243,1.54633752736845,0.001706994837149925
GRC,2013,0.05423128478772297,1.5056625964546884,0.5095988837711045,0.712557213254816,0.0049727169001315,0.7938242604723189,0.002486358280293542
GRC,2014,0.00018915006512542498,0.000567450260859825,0.37235190945648344,0.00018915010878116253,0.0003783001084229625,0.0011349005653754627,0.00018915006512542498
GRC,2015,0.0010419666068628,0.0031259006354957,0.0020839332137256,0.0010419664904475,0.0020839332137256,0.9895803614053873,0.0010419664904475
GRC,2016,0.0006285697144145,0.16590574954170717,0.0012571397198673866,0.0006285698347103499,0.558550741469177,0.23906730640834792,0.0006285697144145
GRC,2017,0.0007159150180606143,0.11269763544052161,0.3157569435341947,0.0007159151760527572,0.8388530029707386,0.1591160460001053,0.0007159150430067285
GRC,2018,0.0010109219777707,0.0030327664571811338,1.6525137302232904,0.0010109223464192334,0.0020218441301644,0.0060655326815315,0.0010109218807579667
GRC,2020,0.21204221538937415,0.1430816804422646,1.204813121476036,0.0008907751107471001,0.0017815501050788003,0.18649991895654178,0.0008907750379875751
HRV,2016,0.00039107890916055,0.11089826733223163,0.0007821579638402751,0.00039107899647205,0.000782158109359425,0.13636416674125937,0.0003910791419912
HUN,2018,0.1201643767999485,0.0059120118967255,0.0039413408958351,0.0019706705934367,0.0039413413614965,1.8620995807577851,0.0019706708262673
IDN,2017,0.00017083649678773332,0.0005125094515581,0.00034167299357546664,0.00017083653559286666,0.00034167299357546664,0.33162497296386073,0.0001708364773852
IND,2000,0.0012021422153338,0.0036064275773241,0.0024042838485909997,0.0012021422153338,0.0024042837321757,0.9879785759840158,0.0012021418660879
IND,2011,0.40940619958564634,0.7834659560467112,0.9925293126143512,0.002008733106777,0.0040174663299693,0.8065636095125223,0.0020087334560228
