year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship,normalization
2000,2.430982680331604,2.6125282180340297,2.745217912005801,6.747297461222235,1.7745784308547896,13.395261784404275,3.960800403379835,None
2001,3.033399538934464,1.4780927861924242,2.2879447595284224,2.934940188554658,2.0747119748353704,12.843436464774026,2.114140906825195,None
2002,3.148522092136166,1.2387775986668779,5.112914805756492,0.8669941153105648,1.1697144729453894,6.926854179619108,0.7028892444310857,None
2003,1.0119067748310033,3.779073268708692,2.540971724617215,3.2451033119189856,2.222699816406624,11.648106838023516,1.718804957286919,None
2004,2.9128377933811858,0.7573841900254252,1.0673769638213928,3.191277608013478,2.333488282281903,14.738676554139232,0.2989585751221347,None
2005,5.401525678309066,5.614102252163375,7.827030680074432,7.590800468066784,1.3296824871038502,17.60874427939221,8.894780990068101,None
2006,2.1870025644554203,3.701052755733443,5.129397315948151,2.594574520034559,0.05138789117821014,17.00705535344604,2.5795294973795526,None
2007,3.3367511921193587,6.2448675238993,5.451862808103517,1.9949763613112728,1.6386680313153161,9.682107938172212,2.984099641888556,None
2008,5.3749742463861665,18.936437958702058,8.295317945484804,5.712465853908601,3.3375649428247263,8.464066117395593,4.679173304328771,None
2009,13.156433905317806,21.374861159213687,13.069341973050282,7.123990202404096,3.9092669441642536,31.918227760973508,17.856536488082757,None
2010,5.757535625418781,11.203497108115418,10.549368675173966,4.836490923953878,2.847098007301346,12.146380631501465,3.8215339671399073,None
2011,10.901608872165003,24.902682615171038,15.898523860793265,5.090299654061144,4.043461486436641,22.231759840330103,3.8840444376823813,None
2012,9.238878602991107,14.770951232909669,19.156840111472494,7.4744830629804175,7.048404101284906,34.12221214938431,13.974594606350133,None
2013,18.83263506388806,26.343822514117335,22.666019947740512,16.181105592052823,5.848226840928442,37.1333563277779,9.353167736667574,None
2014,10.950771839652832,18.545193910037042,10.729596225671408,14.421451534128089,6.545412502935012,29.302399933152856,5.9385078925251324,None
2015,23.437919184509695,25.67446053235949,22.02898021300844,7.675520372994162,5.799463675808499,36.099586964024546,13.0293074756693,None
2016,25.49671745665786,33.060519780681624,24.383583413165756,12.405535232330484,14.146422487283457,44.14711110907425,18.70852375045521,None
2017,19.047445335475135,34.85124352066257,33.599290536975516,11.557111308779998,13.360060204521812,44.77664535195802,16.090743904184624,None
2018,19.773460046967696,29.375823505081428,30.027333756626792,20.117801110154925,12.579293798204798,51.26666769218353,14.927080107713712,None
2019,24.55880792423975,41.234165328055454,24.37894651033967,18.495066598855473,15.557687343738495,46.652282811972334,19.40994960410337,None
2020,11.849167652185695,20.05102400529576,19.138091372219055,9.150154453448096,6.426378459471734,28.71223325763896,6.9798954941705,None
2000,0.07220740586698486,0.0775998475451094,0.08154112555770254,0.20041477474503935,0.05271025007140322,0.397879060260953,0.11764753595280765,absolute_year
2001,0.11332750476699982,0.05522139933209405,0.08547738842644144,0.10964907323949895,0.0775110328199291,0.4798295076215425,0.07898409379349415,absolute_year
2002,0.16427071920303898,0.06463187524517486,0.2667607746705185,0.0452344759538405,0.06102858169960486,0.3614010906077507,0.03667248262007163,absolute_year
2003,0.03867159645322279,0.14442318210496333,0.09710719957365369,0.12401668696062064,0.08494394194671202,0.4451505793696255,0.06568681359120204,absolute_year
2004,0.11513192874329332,0.029936134032401633,0.042188812854652355,0.12613745502779308,0.09223273855120302,0.5825563863039125,0.011816544486744037,absolute_year
2005,0.09953671366466868,0.10345397238446366,0.14423275164194604,0.13987961507055607,0.024502748457767762,0.32448545868635364,0.1639087400942442,absolute_year
2006,0.06577451341813188,0.11130985765616622,0.15426758892199668,0.07803231663098256,0.0015455004912956433,0.5114903881361911,0.07757983474523578,absolute_year
2007,0.10649205876735453,0.19930428163780195,0.17399562062742685,0.06366945800753719,0.052297915620186756,0.30900344322311185,0.09523722211658098,absolute_year
2008,0.09808347098887506,0.3455554348755746,0.15137441404421526,0.10424207692408892,0.060904469349436254,0.15445376022623014,0.08538637359157986,absolute_year
2009,0.12135962288864459,0.1971693171757433,0.1205562559479755,0.06571421789887186,0.03606046786911271,0.2944250784234105,0.16471503979624164,absolute_year
2010,0.11253559914017923,0.21898123460336014,0.20619577570134273,0.09453305012308978,0.055648788111348026,0.23741064071162615,0.07469491160905403,absolute_year
2011,0.12537447251067735,0.2863944885189996,0.18284173153879812,0.05854123382454992,0.046502021575330676,0.2556774138248738,0.044668638206770604,absolute_year
2012,0.08733525064321254,0.13963001177948012,0.18108988163625603,0.07065639454581651,0.06662866406980075,0.3225577560465559,0.1321020412788781,absolute_year
2013,0.13811136076719485,0.1931955439528946,0.16622394304031804,0.11866605519911247,0.042888664509017814,0.2723218686543023,0.06859256387715988,absolute_year
2014,0.11355795142411643,0.19231103158967564,0.1112643916644513,0.14954840779786396,0.06787499967515188,0.30386173293922775,0.06158148490951302,absolute_year
2015,0.17524301770798412,0.19196541750552737,0.16470851952200835,0.05738911129668813,0.04336201979517919,0.26991306300639956,0.09741885116621328,absolute_year
2016,0.14793705946502864,0.19182375492270742,0.14147843288046655,0.07197939917091382,0.08208037557290308,0.2561503774928851,0.10855060049509545,absolute_year
2017,0.10992131877572076,0.2011238032866344,0.19389888043801623,0.06669518635829198,0.07709986356379955,0.25840252174254086,0.09285842583499627,absolute_year
2018,0.11104476946595063,0.16497019445488809,0.16862897776927585,0.11297853694460443,0.07064341680961024,0.2879058739160341,0.08382823063963656,absolute_year
2019,0.1290619960397272,0.21669470679064695,0.1281167843193505,0.09719568716443996,0.08175910608279449,0.24516811883121545,0.10200360077182541,absolute_year
2020,0.11581977829146171,0.1959888848717369,0.18706541798683043,0.08943825349078462,0.06281468456189392,0.2806479398187152,0.06822504097857715,absolute_year
