iso_a3,year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship,normalization
ALB,2019,0.012986288498872688,4.025195364665992e-05,4.5387680167488213e-05,2.991348115710688e-05,0.04331491999572661,7.115430672898427e-05,2.8503519880084564e-05,global
AUS,2000,0.0001714376040822789,0.0004785730126890114,0.0003036274866587611,6.176722586735824e-05,0.18207536203537375,0.00018667579303346485,0.0012140027264104845,global
AUS,2003,0.00023671486166635332,0.0833453155087454,0.00018853678802982444,7.381378933101489e-05,0.00021553369560093223,0.0014327251145142136,0.00013936041504177576,global
AUS,2005,0.0007182781166919603,0.19388104950821142,0.0915638899623477,0.009833714456495677,0.005835675069678363,0.10210959914893769,0.12485430173229793,global
AUS,2006,0.15422641294463255,0.0788029092358859,0.012214820350184768,0.000579805303522738,0.05854872357528789,0.050665124476199,0.17143453685016544,global
AUS,2007,0.11566703444069469,0.011463070132593086,0.059665020776350164,0.1064704840427327,0.0006469977173335061,0.0003285073600226917,0.00017764402476835837,global
AUS,2008,0.0006070630201595151,0.09963029642870604,0.020491578355397673,0.0005711977382217902,0.024739961349085956,0.21869073686855942,0.0006973341507938166,global
AUS,2009,0.08736606267200832,0.08068097392184492,0.0059181340257517655,0.000614488433289312,0.002239605928645844,0.0692314279547525,0.00024515445588768717,global
AUS,2010,0.024484750244194192,0.0002434785875598257,0.00017238391346294577,0.00018800213141617885,0.0006387349866004992,0.05795925532054638,0.12588980460869903,global
AUS,2011,0.01593822692930824,0.00010408293865379,0.023672731916521327,0.00016973096873207615,0.0004273473704129533,0.03695666475274533,0.03169134204801269,global
AUS,2012,0.03680138938787185,0.09618224127020221,0.021057187995947812,0.0005923696094454567,0.13651771766709872,0.006192453354646817,0.11148402902613061,global
AUS,2013,0.00010798394851443332,0.014804423047388073,0.01877686194784148,0.0001256788475308073,0.000695466304113043,0.058551941854116406,0.00021742605399506675,global
AUS,2014,0.0004955068748765863,0.03399456944223309,0.033838421928144666,0.0811965684793074,0.15088230215910073,0.10305611217557833,0.1385389466884697,global
AUS,2015,0.17997227350216619,0.0817059660801693,0.000574366811970038,0.0008242252210987905,0.03423579212772429,0.057268133647259536,0.00048554826146426347,global
AUS,2016,0.07750664225367389,0.02988416415035412,0.002411104174649986,0.020947471418444486,0.001002725907066601,0.003397177856608201,0.01174326373178221,global
AUS,2017,0.027988097779524566,0.00017671743862101067,0.050583427587273994,0.00017763440981795082,0.0003073250519236932,0.004033901399423694,0.06159164336325454,global
AUS,2018,0.00011390500685682952,0.03128901626099369,0.005427535923730524,0.022949438465845958,0.013420725725397147,0.028899603121658065,0.02703346945922233,global
AUS,2019,0.02863152530709181,0.07931372466188194,0.0031218275967032144,0.012985992325169836,0.12886005185098814,0.044029752366622134,0.06655083122583087,global
AUS,2020,0.013702960571357038,0.006908824698616625,0.0732783400386976,0.008035065998734964,0.15424742173622027,0.019597243528123583,0.0003686445018146466,global
AUT,2000,0.39342658307539324,0.0012173775868047957,0.0007723571033491128,0.00015712133632726498,0.016795516288681457,0.000474859376853887,0.0002676591309171137,global
AUT,2001,0.00014020369006594014,0.0008631955886378075,0.0003717693660583184,0.00014490718648263391,0.000409978576642168,0.025622456839307996,0.00020116623666134768,global
AUT,2006,0.00042638186118400777,0.2420389447713198,0.0003635897811804742,0.0003594031714863905,0.0362925268157396,0.06454224757991284,0.0003614993563352503,global
AUT,2008,8.812444923606232e-05,7.504049322386648e-05,0.0594755592065673,8.29181008442626e-05,0.000283839657495872,0.0003357723746800123,0.00010122870308791601,global
AUT,2009,8.081361618323226e-05,0.00014922469311718425,0.0626235267340186,0.0001492448166976167,0.0005439478675219853,0.00019986419494061002,5.9542280422703836e-05,global
AUT,2010,5.806748696205982e-05,8.952360302161175e-05,0.0943487198139885,6.912567155134563e-05,0.00023485359120158585,0.00016514827248844706,8.748467417567251e-05,global
AUT,2011,0.00020134168686015193,0.011188144343200052,0.06647889185298347,0.00043120220715822216,0.0010856777848643967,0.0449650780430296,0.2547266798593993,global
AUT,2012,9.049980877261141e-05,0.006889399485332242,0.0034587361829125983,0.00011186281392222039,0.00023724991452376044,0.00014702153692873054,0.05893676607242097,global
AUT,2013,7.990547819614032e-05,0.00017136825120960566,0.043823218694275023,9.299925162174682e-05,0.0005146279066919535,0.026870443959110618,0.02655554123841771,global
AUT,2014,9.753320952723461e-05,0.05351514022052151,0.00592243157651897,7.406078835500344e-05,0.00032635492642443,0.03203374918894942,0.00017985392995332789,global
AUT,2016,1.94672778886813e-05,4.504027951804784e-05,0.017770227737776745,4.00105013352742e-05,7.017343627408014e-05,0.001420871165220632,2.653077143783581e-05,global
AUT,2017,0.001954320595889052,0.02690446341359819,0.009532285610732648,0.0002575436128208019,0.0004455758472062965,0.022571441736376444,0.050576389146088994,global
AUT,2018,0.00016638628214024859,0.00033599384457321755,0.00021913580119054134,0.00016353832871329464,0.0005230867738774609,0.01886410265636521,0.000220406907928433,global
AUT,2019,0.010001197256928307,0.024767963588300954,0.00012859820514940894,8.475474563316506e-05,0.00020151381083702242,0.00020160354674514491,8.0759870389826e-05,global
AUT,2020,0.0020166433463794926,0.0848193077288696,0.010434479522460755,0.04025733553591593,0.0031251623492374913,0.02141689051422353,0.010361667424096926,global
BEL,2003,0.0008584775237644594,0.06595641373561023,0.0006837535987740402,0.08637985534721608,0.0007816613336888663,0.039939721758954584,0.0005054089770250695,global
BEL,2005,0.00012059912660998868,0.0003480979401986904,0.0001664537287725708,0.006947897127985039,0.0009798117315668957,0.0002219645144179417,0.10547084135327489,global
BEL,2006,5.628641606497267e-05,9.978122553329862e-05,4.799726239474711e-05,0.047918914437223604,0.004790955251585013,0.007324190424330474,4.7721313674897376e-05,global
BEL,2009,0.0001265250396276353,0.00023363215912789156,0.0002547363764713918,0.12142340804128329,0.0008516266284961625,0.035089645960092855,9.322177519146821e-05,global
BEL,2010,0.0001427216804598115,0.00022003655033387627,0.0001557866315204164,0.00016990115468381906,0.0005772369871580177,0.1433993200663295,0.0002150249525014667,global
BEL,2011,6.6990594125875585e-06,8.797911818247807e-06,0.0013218006499452948,1.4347003579059388e-05,3.6122777185029756e-05,0.004651052044643375,1.880270081848046e-05,global
BEL,2012,8.252231010692867e-05,0.0001548471781398161,7.959698350514625e-05,0.0001020021617641195,0.0002163364615404114,0.02908298729551577,5.45571178694411e-05,global
BEL,2013,0.03265962331133084,0.0004240557443525806,0.040056449238422914,0.00519276883769065,0.0012734628826004913,0.1004387958965881,0.015474954381825305,global
BEL,2014,0.008166283438683863,0.028389383180539587,0.00024030886758529208,0.03694580619077136,0.0003939274146652634,0.011397396370891301,0.041336898791725925,global
BEL,2015,0.01586825925817486,0.00017299674910590935,0.002274063345255284,0.0001928902587556838,0.0005105757947507677,0.0516450415766861,0.002921969522848263,global
BEL,2016,0.030154066670130132,0.00024723787468079777,0.002682809559780751,0.0056534120893909365,0.04232461541689173,0.04979499275282251,0.015522304631157708,global
BEL,2017,8.440625837210971e-05,0.0028259881226819937,0.027747520321865962,0.0049398371271131055,0.05937812805391602,0.003354751515794108,0.01866534459456815,global
BEL,2018,0.020395544607314787,0.008170288765778055,0.010948888954124167,0.024052784303290397,0.077541695702883,0.026626286044292742,0.04713478331006872,global
BEL,2019,0.09226645036122977,0.005029913307611641,0.0038593030999414736,0.042718095881359,0.03236482837552473,0.019828264895213506,0.06560810924920998,global
