topics;score;Average score
5;-1,430130944;-1,55360226
6;-1,414363194;-1,55360226
7;-1,451683309;-1,55360226
8;-1,386878053;-1,55360226
9;-1,51095475;-1,55360226
10;-1,501894146;-1,55360226
11;-1,557738586;-1,55360226
12;-1,521097058;-1,55360226
13;-1,505721062;-1,55360226
14;-1,571704998;-1,55360226
15;-1,738390409;-1,55360226
16;-1,516601262;-1,55360226
17;-1,611648473;-1,55360226
18;-1,903793518;-1,55360226
19;-1,586137392;-1,55360226
20;-1,648899013;-1,55360226
